,chi2,p-value,dof
NP1ANXS,11.985417792112166,0.21413262950721496,9.0
NP1PAIN,39.577850078133494,8.447790145191328e-05,12.0
NP1SLPD,55.06753375856502,1.7601603388405156e-07,12.0
NP2DRES,53.13093232299283,2.7604788749833332e-08,9.0
NP2EAT,45.95675464320626,6.134434858550681e-07,9.0
NP2FREZ,33.98699100174312,0.0006777349528512408,12.0
NP2HOBB,40.204813696026186,6.649098365164197e-05,12.0
NP2HYGN,16.92746177631333,0.15234639121434704,12.0
NP2RISE,46.88674638506675,4.876923491163719e-06,12.0
NP2SPCH,26.35404241430031,0.001787412749413893,9.0
NP2TURN,59.770295117687596,1.48449118907508e-09,9.0
NP2WALK,37.1086677888517,0.00021452009543276713,12.0
NP3BRADY,16.835075728599982,0.15590723860016617,12.0
NP3FACXP,15.61045747179886,0.2097361332897029,12.0
NP3FTAPL,15.767739869273447,0.20210709131404056,12.0
NP3FTAPR,6.440485605191487,0.89227152381692,12.0
NP3HMOVL,19.08470307529162,0.08650471960694943,12.0
NP3HMOVR,13.778043551825487,0.31510608648803407,12.0
NP3LGAGL,35.0474603744245,0.00046022767243663487,12.0
NP3LGAGR,23.434954587895763,0.024252242503057034,12.0
NP3POSTR,25.59235016780739,0.0023812620995202387,9.0
NP3PRSPL,16.166242242364525,0.1837399741526025,12.0
NP3PTRML,9.581481531984007,0.38541581537109815,9.0
NP3RIGN,28.673577278008224,0.004403990743426515,12.0
NP3RIGRU,14.077192982456141,0.11960569791484904,9.0
NP3RISNG,20.725751888861808,0.013925383666779567,9.0
NP3RTCON,22.23165696654069,0.0350040378965871,12.0
NP3SPCH,22.918015318015318,0.00638309211021326,9.0
NP3TTAPL,38.31689130054262,0.00013627279161110167,12.0
NP3TTAPR,25.151453319381467,0.014121266554701781,12.0
