,V1_V2,V1_V3,V1_V4,V2_V3,V2_V4,V3_V4
NHY,3.6074756714466445e-05,1.627767513451321e-06,1.7659792408806022e-17,0.449165139093062,5.644626086757706e-06,0.00020107724691900185
NP2DRES,0.00396161938348705,0.001748112712994156,2.4557211458361245e-10,0.7748576851671135,0.00018490689637306744,0.0005774163896397626
NP3BRADY,0.24399280691264677,0.040007766536100275,0.0025949585523568383,0.38816655148144963,0.07919380505761606,0.3853639051050256
NP2HOBB,0.0308327513324785,0.007513230581923524,5.8868309686234354e-08,0.6288525162162715,0.0009297439055879213,0.004048054461887821
NP3POSTR,0.019759486999276068,0.006926669122015904,1.4119862968036464e-05,0.7107783856859626,0.032703838642273615,0.07471146080558687
NP2RISE,0.007197225947984237,0.0023131842965966806,4.180898792798691e-09,0.7811264426356322,0.000765718331912361,0.0014951047325937967
NP2EAT,0.004955461101645545,0.0007176552259301928,1.3915586847556458e-09,0.4564532502050992,0.0005185028557735584,0.008728140015220393
NP3RIGN,0.11021567599252242,0.005580337487737635,0.0001086034303055439,0.20963756221304564,0.017387288447214922,0.2748899948512133
NP3FACXP,0.7950565646428008,1.0,0.052413013562429285,0.8030585398551554,0.09233864920116852,0.06123397357025517
NP3TTAPR,0.14500086359038744,0.030255193646937406,6.294086640825328e-05,0.46631659423388794,0.007794947132546368,0.05009161421401944
NP3TTAPL,0.20150105350465197,0.10852587813782918,6.293130917020184e-07,0.7869844958755114,0.0001910594229055924,0.00030948538186339894
NP3SPCH,0.023530568832085975,0.013487670197563162,5.541910190826421e-06,0.8213816519534368,0.017576574331852095,0.03236020181402622
NP2WALK,0.018786486106175587,0.0028964315626802384,8.81345385223207e-09,0.533379500125525,0.0004900566945016417,0.003863603590410633
NP3RIGRU,0.11428748602501769,0.1805694896658134,0.018079390165850837,0.8299531269313583,0.418342523385587,0.3134501321159818
NP2HYGN,0.19567277330762614,0.6398838956626579,0.00634840561761806,0.3879278674422164,0.12480689725141536,0.01782778768438567
NP3HMOVL,0.0167390624755815,0.03131446476007455,0.00021139718747671552,0.8360924002719055,0.20765904625095252,0.14564816577235734
NP3RIGLU,0.02140292429473933,0.11696275613532914,0.004801539261878639,0.4163610323342787,0.604344665143085,0.17764594018745247
NP3FTAPL,0.11095080788429341,0.027901241883264226,0.0008251183916268747,0.5314266518449073,0.07660896956431275,0.25816094419655644
NP2SPCH,0.06295058551996947,0.017223874295637823,3.5331996963782054e-06,0.6311468720632488,0.004755685295788189,0.016321943819334703
NP3RISNG,0.058134259194442914,0.008807638593954616,0.00016105383148999757,0.4221957891031749,0.05733064865351474,0.2942913134745663
